Image,Algorithm,k,Silhouette,CHI
kotek-0.png,K-Means,5,0.3307001807747502,5137.53829035733
kotek-0.png,K-Means,10,0.2883168937165432,4621.784582681325
kotek-0.png,K-Means,20,0.274826852720983,4034.3918154476282
kotek-0.png,K-Medoids,5,0.28752169375137715,4592.585868230301
kotek-0.png,K-Medoids,10,0.26123186234489987,3863.0159315054857
kotek-0.png,K-Medoids,20,0.22838146278470095,3324.3082980955537
kotek-1.png,K-Means,5,0.356328344974742,7906.195234831239
kotek-1.png,K-Means,10,0.32166186345475356,6621.622333244927
kotek-1.png,K-Means,20,0.2838244565050658,5599.117622575022
kotek-1.png,K-Medoids,5,0.3093724087358306,5881.463263066548
kotek-1.png,K-Medoids,10,0.23977478830149238,4687.449478510819
kotek-1.png,K-Medoids,20,0.23252037054494323,4286.5961329721085
kotek-10.png,K-Means,5,0.46022582861999217,13252.814988703958
kotek-10.png,K-Means,10,0.31437913076755014,11109.643051473298
kotek-10.png,K-Means,20,0.3124382238737417,10973.958225394805
kotek-10.png,K-Medoids,5,0.3847455322652159,11758.053941937018
kotek-10.png,K-Medoids,10,0.2634283768596525,8229.275479862894
kotek-10.png,K-Medoids,20,0.21950171536084445,7680.866411567596
kotek-11.png,K-Means,5,0.4232360440497628,10344.194659429859
kotek-11.png,K-Means,10,0.39327857445338366,8946.750257876003
kotek-11.png,K-Means,20,0.362092754672105,8696.124535609339
kotek-11.png,K-Medoids,5,0.3945276171697157,8069.988164565482
kotek-11.png,K-Medoids,10,0.35723488765524436,8661.107491968145
kotek-11.png,K-Medoids,20,0.2813764916590167,7029.775228126197
kotek-12.png,K-Means,5,0.3168850108057256,4986.00182244415
kotek-12.png,K-Means,10,0.36974407444745905,6898.020452983001
kotek-12.png,K-Means,20,0.3381330975711112,6599.24862317974
kotek-12.png,K-Medoids,5,0.3114179231038346,5080.375156990792
kotek-12.png,K-Medoids,10,0.3215162786988315,5515.6592345697845
kotek-12.png,K-Medoids,20,0.2798188166333208,4489.794123301613
kotek-13.png,K-Means,5,0.4208556934266265,6349.998382996194
kotek-13.png,K-Means,10,0.35396817532881586,6564.047210530128
kotek-13.png,K-Means,20,0.2998628289797192,5629.8656273385295
kotek-13.png,K-Medoids,5,0.3451060606773496,5228.877103246181
kotek-13.png,K-Medoids,10,0.29759539581828165,4749.408023563487
kotek-13.png,K-Medoids,20,0.2585873743854147,4784.104444049109
kotek-14.png,K-Means,5,0.4147097091018342,9529.2868534443
kotek-14.png,K-Means,10,0.34015596254201064,7819.80190509063
kotek-14.png,K-Means,20,0.3135722822237353,6463.305437859619
kotek-14.png,K-Medoids,5,0.38699543880611703,8389.384515051759
kotek-14.png,K-Medoids,10,0.32098129286426136,6778.0460812195915
kotek-14.png,K-Medoids,20,0.2537296834616637,5364.6077904085005
kotek-15.png,K-Means,5,0.3392892132691723,6754.321372816879
kotek-15.png,K-Means,10,0.31201103013570125,5920.238308828407
kotek-15.png,K-Means,20,0.2911673646844525,5531.6604343946365
kotek-15.png,K-Medoids,5,0.2545166525203485,4378.528099132417
kotek-15.png,K-Medoids,10,0.2576774314128049,4526.310927563126
kotek-15.png,K-Medoids,20,0.2292190366306201,4113.086984409416
kotek-16.png,K-Means,5,0.3739805623312354,7371.7076872353355
kotek-16.png,K-Means,10,0.3490531575356902,7430.352342500216
kotek-16.png,K-Means,20,0.3222151740518021,6966.100297983949
kotek-16.png,K-Medoids,5,0.34305536600998826,6757.083238414636
kotek-16.png,K-Medoids,10,0.30484778762257453,5986.767472706644
kotek-16.png,K-Medoids,20,0.2656257980806121,5317.871349613194
kotek-17.png,K-Means,5,0.2807239694866886,4254.9911517297805
kotek-17.png,K-Means,10,0.27205358652504075,3790.514309821831
kotek-17.png,K-Means,20,0.25631123132485567,3270.525618783986
kotek-17.png,K-Medoids,5,0.2377755549814553,3471.596811956491
kotek-17.png,K-Medoids,10,0.25250865949818335,3285.159183757718
kotek-17.png,K-Medoids,20,0.2166860659135986,2643.036333648081
kotek-18.png,K-Means,5,0.3125529649853528,4921.323886877052
kotek-18.png,K-Means,10,0.3079532330860621,4601.488585651134
kotek-18.png,K-Means,20,0.2897678156324718,4333.347045504301
kotek-18.png,K-Medoids,5,0.27166716384378675,3625.2798472915165
kotek-18.png,K-Medoids,10,0.24541632507640002,3141.3759885139707
kotek-18.png,K-Medoids,20,0.2316081478319564,3227.3953809086674
kotek-19.png,K-Means,5,0.3174913656325475,6398.485580418194
kotek-19.png,K-Means,10,0.2667310529212811,5002.71815837164
kotek-19.png,K-Means,20,0.26816631762521703,4632.9447445984315
kotek-19.png,K-Medoids,5,0.2506299711430007,4612.035821187548
kotek-19.png,K-Medoids,10,0.19063656331548523,3388.3755521907806
kotek-19.png,K-Medoids,20,0.2142579085311147,3518.059941585628
kotek-2.png,K-Means,5,0.41414259595252984,6581.103662610518
kotek-2.png,K-Means,10,0.36026585775092135,6770.098111378585
kotek-2.png,K-Means,20,0.3317128398718689,6357.142662292908
kotek-2.png,K-Medoids,5,0.3615889738859865,4645.4747323161455
kotek-2.png,K-Medoids,10,0.2829219943946929,4939.42190651035
kotek-2.png,K-Medoids,20,0.26840662765851153,4300.836893771948
kotek-20.png,K-Means,5,0.33766562417869844,7399.707907565086
kotek-20.png,K-Means,10,0.31035449393524644,6521.068605636608
kotek-20.png,K-Means,20,0.28592998894852284,5818.750081950849
kotek-20.png,K-Medoids,5,0.32009019807140304,6783.772543915252
kotek-20.png,K-Medoids,10,0.2651032036609944,5457.78271279162
kotek-20.png,K-Medoids,20,0.2284930275917166,4419.76674141663
kotek-21.png,K-Means,5,0.31052069972761187,6980.862548324224
kotek-21.png,K-Means,10,0.30073770700931174,6050.47585054461
kotek-21.png,K-Means,20,0.2799670065783362,5534.077390313301
kotek-21.png,K-Medoids,5,0.3205411087710367,6431.776538151354
kotek-21.png,K-Medoids,10,0.2748626657640042,5288.931165224687
kotek-21.png,K-Medoids,20,0.23118766469265317,4117.506897198546
kotek-22.png,K-Means,5,0.4360570635504303,10347.451864179866
kotek-22.png,K-Means,10,0.3557509634642799,9512.695096055297
kotek-22.png,K-Means,20,0.3330433462398853,8264.39167771461
kotek-22.png,K-Medoids,5,0.3632590448243461,7550.777893807104
kotek-22.png,K-Medoids,10,0.3290148634470329,8481.411627942094
kotek-22.png,K-Medoids,20,0.294679410071934,7326.951364717039
kotek-23.png,K-Means,5,0.46812727579492897,8518.621035447366
kotek-23.png,K-Means,10,0.41776580568420413,8606.962936735348
kotek-23.png,K-Means,20,0.3914575326233249,8831.788105329248
kotek-23.png,K-Medoids,5,0.4471742652017527,8410.779303676172
kotek-23.png,K-Medoids,10,0.37743932357742593,7060.274675653107
kotek-23.png,K-Medoids,20,0.31530743985979465,6133.024984831241
kotek-24.png,K-Means,5,0.3602715442554079,7099.323236859169
kotek-24.png,K-Means,10,0.31983944630357397,7043.752135651581
kotek-24.png,K-Means,20,0.28755269303254355,6453.551938342302
kotek-24.png,K-Medoids,5,0.31886867554469567,6381.043470225466
kotek-24.png,K-Medoids,10,0.30145375872323416,6087.058500864559
kotek-24.png,K-Medoids,20,0.25777604528397974,5050.36285120631
kotek-25.png,K-Means,5,0.3787596508047916,10401.888920418418
kotek-25.png,K-Means,10,0.3525403517647948,8611.331437362813
kotek-25.png,K-Means,20,0.32097284336312865,7607.380849365171
kotek-25.png,K-Medoids,5,0.33537412927605975,9705.625037031718
kotek-25.png,K-Medoids,10,0.2744106265784715,6548.989095779787
kotek-25.png,K-Medoids,20,0.2530018979640785,4979.44280291614
